ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
PL,CanESM5,40198.43826091455,41043.793110155624,2.1029544574696244,0.7064982042637997,0.8947740799784618,0.07210081286110963,False
PL,CMCC-CM2-SR5,26032.33366485457,28146.00146632804,8.119394245192346,0.7579234151080654,0.9069940981075311,6.225950787834102e-07,True
PL,CMCC-ESM2,26093.765344092328,27518.76732610423,5.461082228726811,0.32532301619641957,0.7407007455601016,1.6660776439047032e-05,True
PL,HadGEM3-GC31-LL,36798.05288775567,40235.64944609375,9.34178927570897,0.3099603894116368,0.9313863804388586,1.468477361701385e-13,True
PL,HadGEM3-GC31-MM,35986.22670920439,39727.64117711825,10.396795691160623,0.7971834323251779,0.5938359979393986,1.55278538375222e-15,True
PL,MRI-ESM2-0,33283.72879896155,35049.591441290686,5.305483207711481,0.13023128131748218,0.27066418691365957,3.0205610712350934e-06,True
PT,ACCESS-CM2,13420.732865834078,14420.075469281785,7.446259555555199,0.12580665065686097,0.701470882871924,1.1350644989615933e-14,True
PT,CanESM5,13575.840131859797,13974.272991918284,2.934867059339069,0.5885828186674469,0.7577302421694052,0.0007100526534270742,True
PT,CMCC-CM2-SR5,10960.561571733937,11273.61184318669,2.856151752845178,0.9672764734646101,0.08891180359236518,0.045776315153295215,True
PT,CMCC-ESM2,10965.364070361657,11185.53497726175,2.007875939980823,0.9218019726494071,0.8928266177004518,0.010014813650495804,True
PT,HadGEM3-GC31-LL,13338.138116908496,14142.44172695896,6.0301040745024475,0.9045121761775788,0.7705099040461352,6.916323039063328e-11,True
PT,HadGEM3-GC31-MM,13295.752831792159,14027.819753837686,5.506020842197401,0.6586056822674032,0.66764477113883,1.5497120482629235e-06,True
PT,MRI-ESM2-0,12541.686256153256,12774.883136819324,1.8593742173358538,0.10618136945653633,0.42149169876839176,0.10577153564761844,False
RO,ACCESS-CM2,29922.244508342228,32819.01425165254,9.680990817726588,0.9088398643150211,0.9986462740066822,2.855861078092891e-14,True
RO,CanESM5,31829.19345469433,32188.047926985848,1.1274381576847399,0.6815538245830648,0.004376937057095495,0.6183426985024749,False
RO,CMCC-CM2-SR5,21153.267702514004,23533.777753391292,11.253627970653309,0.41976389125242175,0.8025158698588752,3.228275483312064e-11,True
RO,CMCC-ESM2,21533.121181626124,23655.796536809186,9.857722609178962,0.7911989430281208,0.5526202291542324,4.2378642408540346e-09,True
RO,HadGEM3-GC31-LL,28885.48771743496,31630.620385582646,9.50350118717488,0.2682119294403086,0.24590672625754761,1.0561432280125742e-10,True
RO,HadGEM3-GC31-MM,28980.875665832977,31048.45391538333,7.134284944978128,0.8239438387810449,0.786895719849577,6.828782022712311e-10,True
RO,MRI-ESM2-0,27790.438266238583,29862.096381152456,7.454571587057847,0.019830135654726244,0.9338503573086802,2.3118840827915534e-12,True
SK,ACCESS-CM2,5794.359094061614,6425.942530135493,10.899970571743843,0.9836122631820923,0.40780976814834013,3.6138229391632705e-14,True
SK,CanESM5,6366.527767959188,6396.381640704133,0.4689192261940723,0.37076558583576424,0.054475817917494444,0.5146091014179781,False
SK,CMCC-CM2-SR5,4105.111934318939,4585.064399553978,11.69158047123178,0.41896772155596984,0.23115522129412858,2.4705077204527712e-08,True
SK,CMCC-ESM2,4188.004448021308,4620.3830488011545,10.324215414435164,0.08383302869093576,0.9957100940654751,7.171815794389055e-08,True
